"FPR","TPR"
1,1
0.999806314158435,1
0.99961262831687,1
0.999418942475305,1
0.99922525663374,1
0.999031570792175,1
0.99883788495061,1
0.998644199109045,1
0.99845051326748,1
0.998256827425915,1
0.99806314158435,1
0.997869455742785,1
0.99767576990122,1
0.997482084059655,1
0.99728839821809,1
0.997094712376525,1
0.99690102653496,1
0.996707340693395,1
0.99651365485183,1
0.996319969010265,1
0.9961262831687,1
0.995932597327135,1
0.99573891148557,1
0.995545225644005,1
0.99535153980244,1
0.995157853960875,1
0.99496416811931,1
0.994770482277745,1
0.99457679643618,1
0.994383110594615,1
0.99418942475305,1
0.993995738911486,1
0.993802053069921,1
0.993608367228356,1
0.993414681386791,1
0.993220995545226,1
0.993027309703661,1
0.992833623862096,1
0.992639938020531,1
0.992446252178966,1
0.992252566337401,1
0.992058880495836,1
0.991865194654271,1
0.991671508812706,1
0.991477822971141,1
0.991284137129576,1
0.991090451288011,1
0.990896765446446,1
0.990703079604881,1
0.990509393763316,1
0.990315707921751,1
0.990122022080186,1
0.989928336238621,1
0.989734650397056,1
0.989540964555491,1
0.989347278713926,1
0.989153592872361,1
0.988959907030796,1
0.988766221189231,1
0.988572535347666,1
0.988378849506101,1
0.988185163664536,1
0.987991477822971,1
0.987797791981406,1
0.987604106139841,1
0.987410420298276,1
0.987216734456711,1
0.987023048615146,1
0.986829362773581,1
0.986635676932016,1
0.986441991090451,1
0.986248305248886,1
0.986054619407321,1
0.985860933565756,1
0.985667247724191,1
0.985473561882626,1
0.985279876041061,1
0.985086190199496,1
0.984892504357931,1
0.984698818516366,1
0.984505132674801,1
0.984311446833236,1
0.984117760991671,1
0.983924075150106,1
0.983730389308542,1
0.983536703466977,1
0.983343017625412,1
0.983149331783847,1
0.982955645942282,1
0.982761960100717,1
0.982568274259152,1
0.982374588417587,1
0.982180902576022,1
0.981987216734457,1
0.981793530892892,1
0.981599845051327,1
0.981406159209762,1
0.981212473368197,1
0.981018787526632,1
0.980825101685067,1
0.980631415843502,1
0.980437730001937,1
0.980244044160372,1
0.980050358318807,1
0.979856672477242,1
0.979662986635677,1
0.979469300794112,1
0.979275614952547,1
0.979081929110982,1
0.978888243269417,1
0.978694557427852,1
0.978500871586287,1
0.978307185744722,1
0.978113499903157,1
0.977919814061592,1
0.977726128220027,1
0.977532442378462,1
0.977338756536897,1
0.977145070695332,1
0.976951384853767,1
0.976757699012202,1
0.976564013170637,1
0.976370327329072,1
0.976176641487507,1
0.975982955645942,1
0.975789269804377,1
0.975595583962812,1
0.975401898121247,1
0.975208212279682,1
0.975014526438117,1
0.974820840596552,1
0.974627154754987,1
0.974433468913422,1
0.974239783071857,1
0.974046097230292,1
0.973852411388727,1
0.973658725547162,1
0.973465039705598,1
0.973271353864033,1
0.973077668022468,1
0.972883982180903,1
0.972690296339338,1
0.972496610497773,1
0.972302924656208,1
0.972109238814643,1
0.971915552973078,1
0.971721867131513,1
0.971528181289948,1
0.971334495448383,1
0.971140809606818,1
0.970947123765253,1
0.970753437923688,1
0.970559752082123,1
0.970366066240558,1
0.970172380398993,1
0.969978694557428,1
0.969785008715863,1
0.969591322874298,1
0.969397637032733,1
0.969203951191168,1
0.969010265349603,1
0.968816579508038,1
0.968622893666473,1
0.968429207824908,1
0.968235521983343,1
0.968041836141778,1
0.967848150300213,1
0.967654464458648,1
0.967460778617083,1
0.967267092775518,1
0.967073406933953,1
0.966879721092388,1
0.966686035250823,1
0.966492349409258,1
0.966298663567693,1
0.966104977726128,1
0.965911291884563,1
0.965717606042998,1
0.965523920201433,1
0.965330234359868,1
0.965136548518303,1
0.964942862676738,1
0.964749176835173,1
0.964555490993608,1
0.964361805152043,1
0.964168119310478,1
0.963974433468913,1
0.963780747627348,1
0.963587061785783,1
0.963393375944218,1
0.963199690102653,1
0.963006004261089,1
0.962812318419524,1
0.962618632577959,1
0.962424946736394,1
0.962231260894829,1
0.962037575053264,1
0.961843889211699,1
0.961650203370134,1
0.961456517528569,1
0.961262831687004,1
0.961069145845439,1
0.960875460003874,1
0.960681774162309,1
0.960488088320744,1
0.960294402479179,1
0.960100716637614,1
0.959907030796049,1
0.959713344954484,1
0.959519659112919,1
0.959325973271354,1
0.959132287429789,1
0.958938601588224,1
0.958744915746659,1
0.958551229905094,1
0.958357544063529,1
0.958163858221964,1
0.957970172380399,1
0.957776486538834,1
0.957582800697269,1
0.957389114855704,1
0.957195429014139,1
0.957001743172574,1
0.956808057331009,1
0.956614371489444,1
0.956420685647879,1
0.956226999806314,1
0.956033313964749,1
0.955839628123184,1
0.955645942281619,1
0.955452256440054,1
0.955258570598489,1
0.955064884756924,1
0.954871198915359,1
0.954677513073794,1
0.954483827232229,1
0.954290141390664,1
0.954096455549099,1
0.953902769707534,1
0.953709083865969,1
0.953515398024404,1
0.953321712182839,1
0.953128026341274,1
0.952934340499709,1
0.952740654658145,1
0.95254696881658,1
0.952353282975015,1
0.95215959713345,1
0.951965911291885,1
0.95177222545032,1
0.951578539608755,1
0.95138485376719,1
0.951191167925625,1
0.95099748208406,1
0.950803796242495,1
0.95061011040093,1
0.950416424559365,1
0.9502227387178,1
0.950029052876235,1
0.950029052876235,0.999464954521134
0.94983536703467,0.999464954521134
0.949641681193105,0.999464954521134
0.94944799535154,0.999464954521134
0.949254309509975,0.999464954521134
0.94906062366841,0.999464954521134
0.948866937826845,0.999464954521134
0.94867325198528,0.999464954521134
0.948479566143715,0.999464954521134
0.94828588030215,0.999464954521134
0.948092194460585,0.999464954521134
0.948092194460585,0.998929909042269
0.94789850861902,0.998929909042269
0.947704822777455,0.998929909042269
0.94751113693589,0.998929909042269
0.947317451094325,0.998929909042269
0.94712376525276,0.998929909042269
0.946930079411195,0.998929909042269
0.94673639356963,0.998929909042269
0.946542707728065,0.998929909042269
0.9463490218865,0.998929909042269
0.946155336044935,0.998929909042269
0.94596165020337,0.998929909042269
0.945767964361805,0.998929909042269
0.94557427852024,0.998929909042269
0.945380592678675,0.998929909042269
0.94518690683711,0.998929909042269
0.944993220995545,0.998929909042269
0.94479953515398,0.998929909042269
0.944605849312415,0.998929909042269
0.94441216347085,0.998929909042269
0.944218477629285,0.998929909042269
0.94402479178772,0.998929909042269
0.943831105946155,0.998929909042269
0.94363742010459,0.998929909042269
0.943443734263025,0.998929909042269
0.94325004842146,0.998929909042269
0.943056362579895,0.998929909042269
0.94286267673833,0.998929909042269
0.942668990896765,0.998929909042269
0.9424753050552,0.998929909042269
0.942281619213636,0.998929909042269
0.942087933372071,0.998929909042269
0.941894247530506,0.998929909042269
0.941700561688941,0.998929909042269
0.941506875847376,0.998929909042269
0.941313190005811,0.998929909042269
0.941119504164246,0.998929909042269
0.940925818322681,0.998929909042269
0.940732132481116,0.998929909042269
0.940538446639551,0.998929909042269
0.940344760797986,0.998929909042269
0.940151074956421,0.998929909042269
0.939957389114856,0.998929909042269
0.939763703273291,0.998929909042269
0.939570017431726,0.998929909042269
0.939376331590161,0.998929909042269
0.939182645748596,0.998929909042269
0.938988959907031,0.998929909042269
0.938795274065466,0.998929909042269
0.938601588223901,0.998929909042269
0.938407902382336,0.998929909042269
0.938214216540771,0.998929909042269
0.938020530699206,0.998929909042269
0.937826844857641,0.998929909042269
0.937633159016076,0.998929909042269
0.937439473174511,0.998929909042269
0.937245787332946,0.998929909042269
